User_ID,Subscription_Type,Monthly_Revenue,Join_Date,Last_Payment_Date,Country,Age,Gender,Device,Plan_Duration
1,Basic,10,2022-01-15,2023-06-10,United States,28,Male,Smartphone,1
2,Premium,15,2021-09-05,2023-06-22,Canada,35,Female,Tablet,1
3,Standard,12,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1
4,Standard,12,2022-07-10,2023-06-26,Australia,51,Female,Laptop,1
5,Basic,10,2023-05-01,2023-06-28,Germany,33,Male,Smartphone,1
6,Premium,15,2022-03-18,2023-06-27,France,29,Female,Smart TV,1
7,Standard,12,2021-12-09,2023-06-25,Brazil,46,Male,Tablet,1
8,Basic,10,2023-04-02,2023-06-24,Mexico,39,Female,Laptop,1
9,Standard,12,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,1
10,Premium,15,2023-01-07,2023-06-22,Italy,44,Female,Smart TV,1
11,Basic,10,2022-05-16,2023-06-22,United States,31,Female,Smartphone,1
12,Premium,15,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1
13,Standard,12,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,1
14,Basic,10,2022-08-01,2023-06-26,Australia,27,Male,Smartphone,1
15,Standard,12,2023-05-09,2023-06-28,Germany,38,Female,Smart TV,1
16,Premium,15,2022-04-07,2023-06-27,France,36,Male,Tablet,1
17,Basic,10,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1
18,Standard,12,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,1
19,Premium,15,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1
20,Basic,10,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1
21,Premium,15,2023-06-10,2023-06-22,United States,26,Female,Laptop,1
22,Basic,10,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1
23,Standard,12,2021-12-05,2023-06-27,United Kingdom,49,Female,Smart TV,1
24,Standard,12,2022-04-03,2023-06-26,Australia,31,Male,Tablet,1
25,Basic,10,2023-03-14,2023-06-28,Germany,40,Female,Laptop,1
26,Premium,15,2022-01-12,2023-06-27,France,29,Male,Smartphone,1
27,Basic,10,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1
28,Standard,12,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,1
29,Premium,15,2022-12-19,2023-06-23,Spain,36,Female,Laptop,1
30,Basic,10,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1
31,Premium,15,2023-02-03,2023-06-22,United States,28,Female,Smart TV,1
32,Basic,10,2022-07-07,2023-06-28,Canada,37,Male,Tablet,1
33,Standard,12,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1
34,Standard,12,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,1
35,Basic,10,2023-04-11,2023-06-28,Germany,39,Female,Smart TV,1
36,Premium,15,2022-03-01,2023-06-27,France,35,Male,Tablet,1
37,Basic,10,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,1
38,Standard,12,2021-11-05,2023-06-24,Mexico,32,Male,Smartphone,1
39,Premium,15,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1
40,Basic,10,2023-03-07,2023-06-22,Italy,48,Male,Tablet,1
41,Premium,15,2023-01-20,2023-06-22,United States,31,Female,Laptop,1
42,Basic,10,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,1
43,Standard,12,2022-02-07,2023-06-27,United Kingdom,36,Female,Smart TV,1
44,Standard,12,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1
45,Basic,10,2023-01-28,2023-06-28,Germany,43,Female,Laptop,1
46,Premium,15,2022-02-23,2023-06-27,France,34,Male,Smartphone,1
47,Basic,10,2022-10-05,2023-06-25,Brazil,39,Female,Smart TV,1
48,Standard,12,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,1
49,Premium,15,2022-11-10,2023-06-23,Spain,28,Female,Laptop,1
50,Basic,10,2023-06-02,2023-06-22,Italy,45,Male,Smartphone,1
51,Premium,15,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1
52,Basic,10,2022-08-29,2023-06-28,Canada,37,Male,Tablet,1
53,Standard,12,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,1
54,Standard,12,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1
55,Basic,10,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1
56,Premium,15,2022-03-15,2023-06-27,France,36,Male,Tablet,1
57,Basic,10,2022-10-01,2023-06-25,Brazil,46,Female,Laptop,1
58,Standard,12,2021-10-08,2023-06-24,Mexico,34,Male,Smartphone,1
59,Premium,15,2022-12-03,2023-06-23,Spain,27,Female,Smart TV,1
60,Basic,10,2023-06-14,2023-06-22,Italy,42,Male,Tablet,1
61,Premium,15,2023-02-08,2023-06-22,United States,28,Female,Laptop,1
62,Basic,10,2022-08-03,2023-06-28,Canada,37,Male,Smartphone,1
63,Standard,12,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1
64,Standard,12,2022-06-20,2023-06-26,Australia,29,Male,Tablet,1
65,Basic,10,2023-03-29,2023-06-28,Germany,40,Female,Laptop,1
66,Premium,15,2022-01-30,2023-06-27,France,29,Male,Smartphone,1
67,Basic,10,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1
68,Standard,12,2021-11-09,2023-06-24,Mexico,33,Male,Tablet,1
69,Premium,15,2022-12-23,2023-06-23,Spain,36,Female,Laptop,1
70,Basic,10,2023-05-08,2023-06-22,Italy,41,Male,Smartphone,1
71,Basic,10,2022-01-26,2023-06-20,United States,27,Male,Smartphone,1
72,Basic,10,2022-10-11,2023-06-22,Canada,31,Female,Smartphone,1
73,Standard,12,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1
74,Premium,13,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1
75,Basic,13,2022-05-28,2023-06-26,Germany,28,Female,Laptop,1
76,Basic,13,2021-12-29,2023-06-26,France,51,Female,Laptop,1
77,Premium,15,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,1
78,Standard,15,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1
79,Standard,15,2022-12-03,2023-06-25,Spain,43,Female,Laptop,1
80,Basic,12,2022-11-08,2023-06-22,Italy,43,Male,Tablet,1
81,Premium,10,2023-01-11,2023-06-24,United States,37,Male,Tablet,1
82,Standard,12,2022-12-07,2023-06-28,Canada,35,Male,Laptop,1
83,Basic,10,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1
84,Standard,12,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,1
85,Premium,10,2023-04-06,2023-06-27,Germany,37,Female,Laptop,1
86,Basic,11,2022-03-04,2023-06-25,France,29,Female,Smartphone,1
87,Premium,15,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1
88,Standard,12,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,1
89,Basic,15,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1
90,Standard,13,2023-02-03,2023-06-23,Italy,49,Female,Smartphone,1
91,Premium,11,2022-10-03,2023-06-23,United States,39,Male,Tablet,1
92,Basic,14,2022-01-05,2023-06-28,Canada,39,Male,Smart TV,1
93,Standard,12,2022-02-05,2023-06-26,United Kingdom,35,Male,Smartphone,1
94,Premium,12,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,1
95,Basic,11,2022-02-28,2023-06-25,Germany,34,Male,Laptop,1
96,Premium,14,2022-07-26,2023-06-24,France,32,Male,Laptop,1
97,Basic,10,2022-03-05,2023-06-24,Brazil,29,Female,Tablet,1
98,Standard,13,2022-03-07,2023-06-28,Mexico,31,Female,Tablet,1
99,Standard,12,2023-01-13,2023-06-24,Spain,29,Female,Tablet,1
100,Basic,12,2023-01-22,2023-06-25,Italy,35,Male,Laptop,1
101,Premium,11,2022-10-17,2023-06-24,United States,46,Female,Tablet,1
102,Basic,12,2022-03-29,2023-06-28,Canada,31,Male,Tablet,1
103,Standard,13,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,1
104,Premium,10,2022-06-08,2023-06-25,Australia,38,Male,Laptop,1
105,Basic,11,2022-03-04,2023-06-27,Germany,46,Female,Laptop,1
106,Premium,10,2022-03-18,2023-06-24,France,49,Female,Tablet,1
107,Basic,14,2022-03-07,2023-06-24,Brazil,29,Female,Smart TV,1
108,Standard,12,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1
109,Standard,13,2023-02-08,2023-06-25,Spain,35,Female,Tablet,1
110,Basic,13,2023-01-26,2023-06-24,Italy,37,Female,Laptop,1
111,Premium,14,2022-07-14,2023-06-27,United States,40,Male,Tablet,1
112,Basic,10,2022-06-01,2023-06-28,Canada,33,Female,Laptop,1
113,Standard,15,2022-05-07,2023-06-26,United Kingdom,37,Male,Tablet,1
114,Premium,10,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1
115,Basic,11,2022-04-05,2023-06-25,Germany,50,Female,Laptop,1
116,Premium,14,2022-05-19,2023-06-23,France,45,Female,Smart TV,1
117,Basic,15,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1
118,Standard,12,2022-08-07,2023-06-27,Mexico,33,Male,Smartphone,1
119,Standard,11,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,1
120,Basic,10,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1
121,Premium,15,2022-10-03,2023-06-24,United States,27,Male,Smart TV,1
122,Basic,11,2022-05-03,2023-06-28,Canada,51,Male,Smart TV,1
123,Standard,13,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1
124,Premium,15,2022-11-05,2023-06-25,Australia,43,Male,Laptop,1
125,Basic,12,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,1
126,Premium,13,2022-09-21,2023-06-23,France,45,Male,Laptop,1
127,Basic,10,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1
128,Standard,12,2022-10-06,2023-06-27,Mexico,48,Male,Smartphone,1
129,Standard,13,2022-11-05,2023-06-23,Spain,38,Male,Smart TV,1
130,Basic,14,2023-01-07,2023-06-23,Italy,43,Female,Tablet,1
131,Premium,15,2022-10-06,2023-06-23,United States,47,Male,Laptop,1
132,Basic,15,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1
133,Standard,13,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1
134,Premium,15,2022-11-05,2023-06-25,Australia,32,Male,Tablet,1
135,Basic,13,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1
136,Premium,12,2022-09-13,2023-06-26,France,41,Female,Smart TV,1
137,Basic,12,2022-08-10,2023-06-22,Brazil,49,Male,Laptop,1
138,Standard,15,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,1
139,Standard,13,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,1
140,Basic,12,2022-05-02,2023-06-23,Italy,43,Female,Smartphone,1
141,Premium,12,2022-05-11,2023-06-27,United States,42,Male,Smartphone,1
142,Basic,14,2022-06-10,2023-06-22,Canada,28,Male,Smart TV,1
143,Standard,14,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,1
144,Premium,10,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,1
145,Basic,11,2022-05-05,2023-06-26,Germany,35,Female,Laptop,1
146,Basic,10,2022-10-06,2023-06-25,France,38,Male,Tablet,1
147,Basic,12,2022-11-08,2023-06-24,Brazil,49,Female,Laptop,1
148,Standard,15,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,1
149,Premium,13,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,1
150,Basic,10,2022-12-15,2023-06-23,Italy,47,Female,Laptop,1
